GardenSize,OverallQual,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,WoodDeckSF,OpenPorchSF,MS_zoning_RL,ModernityInYears
7086,5,3,3,1314,3,1314,1,0,3,5,0,1,3,250,0,1,53
7038,6,4,4,799,4,1571,2,1,3,7,1,2,3,0,40,1,15
7748,5,3,3,1002,3,1002,1,0,3,5,0,2,3,0,0,1,39
6219,5,3,4,731,5,1768,1,1,4,7,2,1,3,0,0,1,57
3974,5,3,3,1026,3,1691,2,0,4,6,1,1,3,0,0,1,60
8906,5,3,3,894,3,894,1,0,3,5,0,2,3,256,0,1,34
11227,6,4,4,684,5,1560,2,1,4,6,1,2,3,100,38,1,4
4640,4,3,3,796,4,1154,1,0,4,7,0,1,3,0,96,0,3
10668,6,3,4,1422,3,1422,2,0,4,7,1,2,3,276,0,1,27
7662,8,4,4,1496,5,1496,2,0,4,7,0,2,3,168,130,1,0
7487,6,3,3,814,4,913,1,0,3,6,0,1,3,0,0,1,41
12314,5,3,3,1024,3,1086,1,0,3,6,1,2,3,0,0,1,40
10279,7,3,4,1271,3,1601,2,0,3,7,1,2,3,0,0,1,31
11424,5,3,4,1040,4,1040,1,0,4,6,0,2,3,168,0,1,13
8436,7,3,3,1164,3,1164,1,1,3,6,0,2,3,0,0,1,37
7058,6,4,4,1010,5,2267,2,1,4,8,1,2,3,120,46,1,7
18741,6,3,4,1809,3,2259,2,0,4,7,2,2,3,166,120,1,54
8463,7,4,4,912,5,2094,2,1,4,8,1,2,3,182,182,0,5
8781,8,4,4,1694,5,1694,2,0,4,7,0,3,3,160,33,1,2
10765,6,3,4,1606,3,1651,2,0,3,7,1,2,3,192,0,1,22
9805,5,3,3,768,2,789,1,0,3,5,0,1,1,0,0,1,57
7960,5,3,3,912,5,912,1,0,4,5,0,2,3,0,240,1,0
10163,6,4,4,1055,5,1845,2,1,4,8,1,2,3,635,104,1,18
9454,6,4,4,783,5,1484,2,1,4,8,1,2,3,0,72,1,0
1552,7,4,4,970,5,1709,2,0,4,7,0,2,3,0,40,0,2
3626,7,4,4,625,5,1250,2,1,4,5,0,2,3,0,54,0,0
12719,10,5,5,2078,5,2084,2,0,5,7,1,3,3,188,45,1,0
7504,3,3,0,0,2,1040,2,0,3,6,0,2,3,0,0,1,56
14725,5,3,4,1360,5,1432,1,1,4,5,1,2,3,168,180,1,29
7316,5,3,3,1228,4,1228,1,1,4,6,0,1,3,0,65,1,2
8159,5,3,3,1024,3,1344,1,0,3,6,1,1,3,316,28,1,24
4740,5,3,3,864,3,864,1,0,3,5,0,0,0,0,0,1,58
8554,6,3,4,1686,3,1686,2,0,3,7,1,2,3,384,131,1,26
8371,4,3,3,1281,5,1620,2,0,3,8,1,2,3,120,78,1,16
7902,6,3,3,952,2,952,1,0,2,4,1,1,1,0,98,1,59
5899,7,4,4,1293,5,1301,2,0,4,5,1,2,3,216,121,0,0
10655,6,3,3,1505,5,1505,1,0,3,6,1,2,3,0,0,1,56
9853,4,3,3,1051,4,1382,1,1,3,6,1,2,3,0,82,1,27
5794,5,3,4,1086,3,1224,0,2,3,6,2,2,3,120,0,1,30
11901,5,3,4,1383,3,1383,1,0,3,6,1,1,3,511,116,1,54
5706,5,3,3,894,4,894,1,0,3,5,0,1,3,0,0,1,47
5716,7,3,4,1344,5,1344,2,0,3,8,0,4,3,0,0,0,10
11100,5,3,3,1050,5,1795,2,0,3,7,0,1,3,0,0,0,54
7827,5,3,3,1065,4,1065,1,1,3,6,0,2,3,74,0,1,47
7501,5,3,3,940,3,1964,1,1,3,7,0,0,0,0,192,0,58
3720,4,3,3,736,4,1452,2,0,3,8,0,0,0,0,0,0,1
9028,6,3,3,572,2,1096,1,0,3,5,0,0,0,0,8,1,58
10305,5,3,3,1248,3,2634,2,2,3,12,0,4,3,0,0,1,40
5587,7,4,4,1368,5,1368,2,0,4,6,1,2,3,132,35,1,0
3587,6,4,4,848,5,848,1,0,4,3,0,2,3,140,0,0,4
6134,5,3,3,686,4,1928,2,0,3,10,0,0,0,0,0,0,11
7264,7,4,4,1860,5,1836,2,0,4,8,1,2,3,120,33,1,1
8119,8,4,5,1453,5,2810,2,1,4,9,1,2,4,500,0,1,17
9977,10,5,5,1017,5,2007,2,1,5,10,1,3,3,168,52,0,1
10054,9,4,5,1792,5,1792,2,0,5,6,1,3,3,206,49,1,2
7552,5,4,3,968,3,968,1,0,3,5,0,2,3,0,0,0,1
9517,6,3,3,1054,3,2654,2,1,4,9,1,2,3,0,65,1,22
8668,4,3,3,672,3,672,1,0,3,4,0,1,3,0,113,1,59
5131,4,3,3,884,5,1573,1,0,4,6,0,1,3,0,0,0,14
11624,9,5,4,2153,5,2643,2,1,5,9,1,3,3,414,84,1,1
2878,7,4,5,1352,5,1352,2,0,4,5,1,2,3,0,241,0,0
5198,5,3,3,1042,5,1576,1,0,3,8,1,1,3,0,0,0,56
8039,7,4,4,1502,5,1502,2,0,4,7,0,2,3,0,114,1,0
11814,6,3,3,958,3,958,1,0,3,5,0,1,3,0,0,1,9
9286,4,3,3,648,5,960,0,0,3,3,0,1,3,88,0,1,5
12488,7,4,4,2158,4,2196,2,0,4,7,1,3,3,84,70,1,18
13212,10,4,5,2396,5,4476,3,1,5,10,2,3,3,171,78,1,11
12804,5,3,3,533,3,1601,1,0,3,6,0,1,3,280,34,1,21
7089,6,3,4,923,3,923,2,0,3,5,1,1,3,80,0,1,30
10136,6,3,4,626,3,1217,1,1,3,6,1,1,3,0,28,1,29
8185,8,4,4,1055,5,2263,2,1,4,7,1,2,3,0,45,1,6
8018,5,3,4,1268,3,1268,1,1,4,5,0,1,3,173,0,1,20
9287,6,3,3,588,3,1095,1,0,3,6,0,1,3,0,0,1,48
44293,6,3,3,907,3,2358,3,0,3,10,1,2,3,486,40,1,11
8831,6,3,3,1040,2,1309,1,1,4,5,1,2,3,265,0,1,7
8362,6,3,3,560,3,1258,1,0,3,6,0,1,3,0,0,1,59
12178,5,3,3,662,3,2337,2,0,3,10,0,2,3,0,57,0,57
9907,5,3,3,784,5,1968,2,1,3,7,1,2,3,305,189,1,39
10999,5,3,3,768,5,1200,1,0,3,6,0,1,3,0,0,1,13
7168,6,3,4,953,5,1664,2,1,3,7,1,2,3,100,40,1,6
5774,5,3,3,384,3,1360,1,0,3,6,1,2,3,0,50,1,52
6180,5,3,4,1117,3,1347,1,0,3,5,0,0,0,85,0,1,17
5194,6,3,3,960,3,986,1,0,3,5,1,1,3,0,128,0,57
7007,5,3,4,793,3,1118,1,0,3,5,1,2,3,0,0,0,56
8489,4,3,3,864,4,864,1,0,3,5,0,1,3,0,0,1,36
9907,6,3,4,1844,5,1844,2,0,3,7,1,2,3,0,122,1,33
1197,6,3,3,483,3,987,1,1,3,4,0,1,3,0,0,0,37
8993,6,3,3,1610,4,1610,2,0,4,6,2,2,3,168,68,1,9
8107,6,3,3,1084,3,1080,1,1,3,5,0,2,3,120,0,1,24
2415,8,4,4,1520,5,1567,2,0,5,7,1,3,3,312,0,1,0
10405,6,3,4,802,4,1511,2,1,3,8,1,2,3,95,75,1,9
19979,5,3,0,0,3,1771,1,0,3,9,1,2,3,0,0,1,3
12800,5,3,3,910,3,1558,1,1,3,6,0,1,3,289,0,0,57
8489,8,4,4,777,5,1911,2,1,4,8,1,2,3,182,81,1,12
7406,5,3,3,992,3,1306,1,0,3,5,0,1,3,0,0,1,9
5932,6,3,3,672,3,1369,2,0,3,6,0,1,3,147,0,0,59
9563,8,4,4,1580,5,2466,3,0,4,8,1,2,3,159,214,0,2
8701,6,3,3,912,3,1734,1,1,4,7,1,2,3,0,0,1,25
5050,6,3,3,862,3,1158,1,0,3,5,1,1,3,0,0,0,58
8722,6,3,3,1008,3,2210,2,0,2,8,0,1,3,0,48,0,57
3970,6,3,4,1078,3,958,2,0,3,5,1,2,3,0,205,1,31
10762,8,4,4,1482,5,2262,2,1,4,10,2,3,3,168,0,1,5
10261,5,3,3,768,4,1716,1,1,3,8,1,1,3,0,0,1,1
8493,4,3,3,528,5,605,1,0,3,5,0,0,0,0,0,1,5
5053,5,3,3,927,3,1539,1,1,3,5,0,2,3,112,0,0,59
1584,7,4,3,910,5,1826,1,1,5,7,1,1,2,0,0,0,4
10049,6,4,4,1200,5,1200,2,0,4,6,0,2,3,0,26,1,12
11504,5,3,3,720,3,1382,1,1,3,7,0,2,3,237,0,0,57
12182,6,3,4,616,4,1688,2,1,4,8,0,2,3,403,114,1,11
44903,8,4,4,1629,5,2448,2,1,4,8,1,3,3,517,76,1,4
10972,5,3,3,1188,2,1188,1,0,3,6,0,2,3,0,0,1,51
7158,6,3,4,1092,5,1092,1,0,3,6,0,2,4,0,0,1,44
8487,5,4,3,1113,4,1113,1,0,4,5,1,1,3,0,80,1,2
9636,4,3,3,864,3,864,1,0,3,5,1,0,0,0,0,1,39
5688,7,4,4,1364,5,1364,2,0,4,6,1,2,3,192,36,1,1
23368,5,3,3,1632,3,1632,2,0,3,8,0,2,3,0,0,1,40
6084,5,3,3,980,3,980,1,0,3,6,0,2,3,192,0,1,32
8085,5,3,3,1219,4,1265,2,0,4,6,1,2,3,0,92,1,9
11576,8,4,4,1568,5,1689,2,0,4,7,2,3,3,150,59,1,6
3033,7,4,4,1241,5,1241,1,1,4,4,0,2,3,0,116,0,0
735,4,3,3,546,3,1344,1,1,3,6,1,0,0,0,0,0,1
7878,8,4,5,1713,5,1713,2,0,5,7,1,3,3,0,26,1,4
6662,5,3,3,1269,3,1269,1,1,3,6,1,1,3,0,0,1,48
10928,6,3,3,848,3,2030,2,1,4,8,1,2,3,0,224,1,31
1434,6,3,3,855,3,1441,2,1,3,7,1,2,3,28,0,1,31
