LotArea,OverallQual,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,GrLivArea,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageCond,WoodDeckSF,OpenPorchSF,MS_zoning_RL,ModernityInYears
11622,5,3,1,882.0,3,896,1,0,3,5,0,1.0,2,140,0,0,49
14267,6,3,1,1329.0,3,1329,1,1,4,6,0,1.0,2,393,36,1,52
13830,5,3,2,928.0,4,1629,2,1,3,6,1,2.0,2,212,34,1,12
9978,6,3,1,926.0,5,1604,2,1,4,7,1,2.0,2,360,36,1,12
5005,8,4,2,1280.0,5,1280,2,0,4,5,0,2.0,2,0,82,1,18
10000,6,3,2,763.0,4,1655,2,1,3,7,1,2.0,2,157,84,1,16
7980,6,3,2,1168.0,5,1187,2,0,3,6,0,2.0,2,483,21,1,3
8402,6,3,2,789.0,4,1465,2,1,3,7,1,2.0,2,0,75,1,12
10176,7,3,2,1300.0,4,1341,1,1,4,5,1,2.0,2,192,0,1,20
8400,4,3,1,882.0,3,882,1,0,3,4,0,2.0,2,240,0,1,40
5858,7,4,2,1405.0,5,1337,2,0,4,5,1,2.0,2,203,68,0,11
1680,6,3,1,483.0,3,987,1,1,3,5,0,1.0,2,275,0,0,39
1680,5,3,1,525.0,3,1092,1,1,3,6,0,1.0,2,0,0,0,39
2280,6,3,1,855.0,3,1456,2,1,4,6,1,2.0,2,173,0,1,35
2280,7,3,2,836.0,5,836,1,0,3,4,0,1.0,2,0,30,1,35
12858,9,5,3,1590.0,5,2334,2,1,5,10,1,3.0,2,144,133,1,0
12883,8,4,2,1544.0,5,1544,2,0,4,7,0,3.0,2,0,35,1,0
11520,9,4,3,1698.0,5,1698,2,0,5,7,1,3.0,2,192,74,1,5
14122,8,4,3,1822.0,5,1822,2,0,5,8,1,3.0,2,0,119,1,4
14300,9,5,3,2846.0,5,2696,2,1,5,10,2,3.0,2,220,150,1,6
13650,8,4,2,1671.0,5,2250,2,1,4,7,1,3.0,2,238,130,1,8
7132,8,4,2,1370.0,5,1370,2,0,4,6,1,2.0,2,120,49,1,4
18494,6,4,2,1324.0,5,1324,2,0,4,6,0,2.0,2,36,23,1,5
3203,7,4,2,1145.0,5,1145,2,0,4,6,0,2.0,2,100,116,1,4
13300,7,4,2,384.0,5,1374,2,1,4,7,1,2.0,2,100,0,1,6
8577,7,4,2,847.0,5,1733,2,1,4,7,1,2.0,2,144,48,1,6
